;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
225;Ca?us;2 623;0,020567064;;;;;;;;;;;;;;;;;;;;;;
226;inou?s;2 592;0,020323992;;;;;;;;;;;;;;;;;;;;;;
227;Na?a;2 582;0,020245582;;;;;;;;;;;;;;;;;;;;;;
228;Lo?ck;2 522;0,019775119;;;;;;;;;;;;;;;;;;;;;;
229;CyrÇna?que;2 522;0,019775119;;;;;;;;;;;;;;;;;;;;;;
230;andro?des;2 496;0,019571252;;;;;;;;;;;;;;;;;;;;;;
231;Ma?wenn;2 472;0,019383066;;;;;;;;;;;;;;;;;;;;;;
232;athÇna?s;2 450;0,019210563;;;;;;;;;;;;;;;;;;;;;;
233;Ushua?a;2 434;0,019085107;;;;;;;;;;;;;;;;;;;;;;
234;Masa?;2 424;0,019006696;;;;;;;;;;;;;;;;;;;;;;
235;archa?smes;2 415;0,018936127;;;;;;;;;;;;;;;;;;;;;;
236;ou?es;2 408;0,01888124;;;;;;;;;;;;;;;;;;;;;;
237;Alta?;2 382;0,018677372;;;;;;;;;;;;;;;;;;;;;;
238;ha?ssais;2 341;0,018355889;;;;;;;;;;;;;;;;;;;;;;
239;alo?s;2 338;0,018332366;;;;;;;;;;;;;;;;;;;;;;
240;perestro?ka;2 329;0,018261797;;;;;;;;;;;;;;;;;;;;;;
241;hawa?en;2 307;0,018089294;;;;;;;;;;;;;;;;;;;;;;
242;Na?ma;2 291;0,017963837;;;;;;;;;;;;;;;;;;;;;;
243;cannabino?des;2 264;0,017752129;;;;;;;;;;;;;;;;;;;;;;
244;ha?ssable;2 258;0,017705083;;;;;;;;;;;;;;;;;;;;;;
245;volta?ques;2 257;0,017697242;;;;;;;;;;;;;;;;;;;;;;
246;jama?cains;2 241;0,017571785;;;;;;;;;;;;;;;;;;;;;;
247;ta?wanaise;2 222;0,017422805;;;;;;;;;;;;;;;;;;;;;;
248;hawa?enne;2 218;0,017391441;;;;;;;;;;;;;;;;;;;;;;
249;ha?kus;2 214;0,017360077;;;;;;;;;;;;;;;;;;;;;;
250;HÇpha?stos;2 196;0,017218938;;;;;;;;;;;;;;;;;;;;;;
251;Na?m;2 194;0,017203256;;;;;;;;;;;;;;;;;;;;;;
252;za?rois;2 187;0,017148368;;;;;;;;;;;;;;;;;;;;;;
253;mao?sme;2 176;0,017062117;;;;;;;;;;;;;;;;;;;;;;
254;na?ade;2 146;0,016826885;;;;;;;;;;;;;;;;;;;;;;
255;Ta?ra;2 132;0,016717111;;;;;;;;;;;;;;;;;;;;;;
256;contigu?tÇ;2 127;0,016677905;;;;;;;;;;;;;;;;;;;;;;
257;mono?;2 126;0,016670064;;;;;;;;;;;;;;;;;;;;;;
258;ou?r;2 124;0,016654382;;;;;;;;;;;;;;;;;;;;;;
259;o?dium;2 094;0,016419151;;;;;;;;;;;;;;;;;;;;;;
260;Bolcho?;2 091;0,016395628;;;;;;;;;;;;;;;;;;;;;;
261;Bensa?d;2 075;0,016270171;;;;;;;;;;;;;;;;;;;;;;
262;fa?encerie;2 034;0,015948688;;;;;;;;;;;;;;;;;;;;;;
263;Ca?phe;2 034;0,015948688;;;;;;;;;;;;;;;;;;;;;;
264;polaro?d;2 033;0,015940847;;;;;;;;;;;;;;;;;;;;;;
265;ha?ssaient;2 032;0,015933006;;;;;;;;;;;;;;;;;;;;;;
266;ma?eutique;2 024;0,015870278;;;;;;;;;;;;;;;;;;;;;;
267;Acha?e;2 010;0,015760503;;;;;;;;;;;;;;;;;;;;;;
268;ha?e;2 005;0,015721298;;;;;;;;;;;;;;;;;;;;;;
;;;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
